search_date,search_time,departure_date,days_before_departure,origin,destination,departure_time,arrival_time,duration_minutes,stops,is_direct,connecting_airports,airline_codes,airline_name,flight_numbers,aircraft,origin_terminal,destination_terminal,min_price,max_price,price_range,num_fare_options,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T10:55:00,2025-08-31T20:00:00,545,1,False,BOM,AI,Air India,2425/2655,32N/32N,3,1,14194,14245,51,3,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T21:30:00,2025-09-01T07:55:00,625,1,False,BOM,AI,Air India,2433/657,32N/32N,3,1,14194,14245,51,3,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T21:30:00,2025-09-01T20:00:00,1350,1,False,BOM,AI,Air India,2433/2655,32N/32N,3,1,14194,14245,51,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T23:00:00,2025-09-01T07:55:00,535,1,False,BOM,AI,Air India,2439/657,32N/32N,3,1,14194,14245,51,3,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T09:00:00,2025-08-31T20:00:00,660,1,False,BOM,AI,Air India,2963/2655,32N/32N,3,1,14194,14194,0,1,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T05:10:00,2025-08-31T20:00:00,890,1,False,BOM,AI,Air India,2975/2655,32N/32N,3,1,14194,14245,51,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T05:10:00,2025-09-01T07:55:00,1605,1,False,BOM,AI,Air India,2975/657,32N/32N,3,1,14194,14245,51,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T20:30:00,2025-09-01T07:55:00,685,1,False,BOM,AI,Air India,2957/657,32N/32N,3,1,14194,14194,0,1,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T14:30:00,2025-09-01T07:55:00,1045,1,False,BOM,AI,Air India,2592/657,32N/32N,3,1,14194,14245,51,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T14:30:00,2025-09-01T20:00:00,1770,1,False,BOM,AI,Air India,2592/2655,32N/32N,3,1,14194,14245,51,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T12:10:00,2025-09-01T07:45:00,1175,1,False,BLR,AI,Air India,2417/9874,32N/737,3,1,14256,14256,0,1,Economy,True,Publish,15 KG,7 KG,8
